"","lon","lat","address","zip","city","state","x2020_01","quartile","state_name","region","division"
"615",-85.7979648,35.8568872,"new smithville hwy, tennessee 37166, usa","37166","Smithville","TN",134069,"q2","Tennessee","South","East South Central"
"616",-78.6950012,42.9589806,"4101 transit rd, buffalo, ny 14221, usa","14221","Town Of Amherst","NY",259226,"q3","New York","Northeast","Middle Atlantic"
"617",-82.1500514,29.2609256,"7131 n us hwy 441 #411ocala, ocala, fl 34475, usa","34475","Ocala","FL",107580,"q2","Florida","South","South Atlantic"
"618",-79.9904003,36.7486109,"624 blackberry rd, bassett, va 24055, usa","24055","Bassett","VA",86172,"q1","Virginia","South","South Atlantic"
"619",-80.7745928,41.101226,"6000 mahoning ave, austintown, oh 44515, usa","44515","Austintown","OH",106794,"q2","Ohio","Midwest","East North Central"
"620",-122.0613348,37.3750266,"855 e el camino real, mountain view, ca 94040, usa","94040","Mountain View","CA",2223094,"q4","California","West","Pacific"
"621",-81.3413141,42.9692342,"1570 oxford st w, london, on n6h 1w2, canada","canada",NA,NA,NA,"q4",NA,NA,NA
"622",-97.6154036,38.7921254,"2640 planet ave store 2640, salina, ks 67401, usa","67401","Salina","KS",127063,"q2","Kansas","Midwest","West North Central"
"623",-112.0152204,33.4817383,"3130 e thomas rd, phoenix, az 85016, usa","85016","Phoenix","AZ",349872,"q4","Arizona","West","Mountain"
"624",-88.1172594,41.9388588,"420 w army trail rd, bloomingdale, il 60108, usa","60108","Bloomingdale","IL",298619,"q4","Illinois","Midwest","East North Central"
"625",-95.2480822,29.9369113,"9625 n sam houston pkwy e, humble, tx 77396, usa","77396","Atascocita","TX",186553,"q3","Texas","South","West South Central"
"626",-84.1835281,39.7573924,"501 e 5th st, dayton, oh 45402, usa","45402","Dayton","OH",30834,"q1","Ohio","Midwest","East North Central"
"627",-84.2274031,36.0204109,"695 emory valley rd, oak ridge, tn 37830, usa","37830","Oak Ridge","TN",157132,"q2","Tennessee","South","East South Central"
"628",-84.5637886,34.0180253,"400 ernest w barrett pkwy nw #100, kennesaw, ga 30144, usa","30144","Kennesaw","GA",239732,"q3","Georgia","South","South Atlantic"
"629",-82.3203601,27.9207726,"11375 causeway blvd, brandon, fl 33511, usa","33511","Brandon","FL",233301,"q3","Florida","South","South Atlantic"
"630",-82.6772968,40.0043292,"78 oak meadow dr, pataskala, oh 43062, usa","43062","Pataskala","OH",241874,"q3","Ohio","Midwest","East North Central"
"631",-94.1611244,30.1214625,"4380 dowlen rd, beaumont, tx 77706, usa","77706","Beaumont","TX",180691,"q3","Texas","South","West South Central"
"632",-82.4440067,38.4128404,"729 9th ave, huntington, wv 25701, usa","25701","Huntington","WV",96079,"q1","West Virginia","South","South Atlantic"
"633",-90.9849782,38.5373546,"2030 phoenix center dr, washington, mo 63090, usa","63090","Washington","MO",190665,"q3","Missouri","Midwest","West North Central"
"634",-99.163185,30.059624,"1048 junction hwy, kerrville, tx 78028, usa","78028","Kerrville","TX",231011,"q3","Texas","South","West South Central"
"635",-80.1427057,25.8509089,"2050 71st st, miami beach, fl 33141, usa","33141","Miami Beach","FL",287131,"q4","Florida","South","South Atlantic"
"636",-86.2352219,35.3851521,"1905 n jackson st, tullahoma, tn 37388, usa","37388","Tullahoma","TN",143326,"q2","Tennessee","South","East South Central"
"637",-81.8680556,26.6455556,"2401 first st, fort myers, fl 33901, usa","33901","Fort Myers","FL",183751,"q3","Florida","South","South Atlantic"
"638",-83.7138113,32.7416015,"6200 skipper rd, macon, ga 31216, usa","31216","Macon","GA",149497,"q2","Georgia","South","South Atlantic"
"639",-79.8010984,40.540825,"1306 pittsburgh st, cheswick, pa 15024, usa","15024","Indiana Township","PA",163760,"q2","Pennsylvania","Northeast","Middle Atlantic"
"640",-120.6087248,35.1221858,"224 n oak park blvd, grover beach, ca 93433, usa","93433","Grover Beach","CA",530008,"q4","California","West","Pacific"
"641",-80.0815165,26.7544711,"1715 tiffany dr e, west palm beach, fl 33407, usa","33407","West Palm Beach","FL",202808,"q3","Florida","South","South Atlantic"
"642",-122.8609535,42.3143834,"1241 s riverside ave, medford, or 97501, usa","97501","Medford","OR",262655,"q3","Oregon","West","Pacific"
"643",-117.9059805,33.6214394,"798 dover dr, newport beach, ca 92663, usa","92663","Newport Beach","CA",1635502,"q4","California","West","Pacific"
"644",-97.4609137,35.6102389,"13801 n bryant ave, edmond, ok 73013, usa","73013","Edmond","OK",226220,"q3","Oklahoma","South","West South Central"
"645",-122.6230631,47.5339635,"1720 se mile hill dr, port orchard, wa 98366, usa","98366","Port Orchard","WA",342862,"q4","Washington","West","Pacific"
