"","zip","city","state","metro","county_name","x2020_01"
"12722","70744","Holden","LA","Baton Rouge","Livingston Parish",135112
"12723","3223","Campton","NH","Claremont-Lebanon","Grafton County",207166
"12724","47040","Rising Sun","IN","Cincinnati","Ohio County",147753
"12725","40337","Jeffersonville","KY","Mount Sterling","Montgomery County",105389
"12726","80102","Bennett","CO","Denver-Aurora-Lakewood","Adams County",454135
"12727","49228","Blissfield","MI","Adrian","Lenawee County",147301
"12728","21154","Street","MD","Baltimore-Columbia-Towson","Harford County",365544
"12729","75755","Big Sandy","TX","Longview","Upshur County",148500
"12730","31811","Hamilton","GA","Columbus","Harris County",271518
"12731","55356","Orono","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",562101
"12732","14530","Town of Perry","NY","","Wyoming County",98422
"12733","20759","Fulton","MD","Baltimore-Columbia-Towson","Howard County",689849
"12734","50129","Jefferson","IA","","Greene County",100236
"12735","36477","Samson","AL","Dothan","Geneva County",74804
"12736","44612","Bolivar","OH","New Philadelphia-Dover","Tuscarawas County",182571
"12737","7718","Middletown Township","NJ","New York-Newark-Jersey City","Monmouth County",356793
"12738","32124","Daytona Beach","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County",266798
"12739","55373","Rockford","MN","Minneapolis-St. Paul-Bloomington","Wright County",272451
"12740","22936","Earlysville","VA","Charlottesville","Albemarle County",410649
"12741","75114","Crandall","TX","Dallas-Fort Worth-Arlington","Kaufman County",216055
"12742","68066","Wahoo","NE","Omaha-Council Bluffs","Saunders County",164444
"12743","76365","Henrietta","TX","Wichita Falls","Clay County",90779
"12744","3748","Enfield","NH","Claremont-Lebanon","Grafton County",249852
"12745","16827","Boalsburg","PA","State College","Centre County",315835
"12746","38683","Walnut","MS","","Tippah County",82989
"12747","71653","Lake Village","AR","","Chicot County",97573
"12748","43723","Byesville","OH","Cambridge","Guernsey County",87731
"12749","2779","Berkley","MA","Providence-Warwick","Bristol County",398656
"12750","8091","West Berlin","NJ","Philadelphia-Camden-Wilmington","Camden County",180117
"12751","43072","Saint Paris","OH","Urbana","Champaign County",140827
"12752","47610","Chandler","IN","Evansville","Warrick County",127405
"12753","48647","Mio","MI","","Oscoda County",62800
"12754","97720","Burns","OR","","Harney County",89229
"12755","3257","New London","NH","Concord","Merrimack County",388419
"12756","10506","Town of Bedford","NY","New York-Newark-Jersey City","Westchester County",987312
"12757","16662","North Woodbury Township","PA","Altoona","Blair County",164868
"12758","6237","Columbia","CT","Hartford-West Hartford-East Hartford","Tolland County",249671
"12759","71417","Colfax","LA","Alexandria","Grant Parish",122380
"12760","14787","Town of Westfield","NY","Jamestown-Dunkirk-Fredonia","Chautauqua County",105741
"12761","24577","Nathalie","VA","","Halifax County",89619
"12762","35184","West Blocton","AL","Birmingham-Hoover","Bibb County",110933
"12763","37403","Chattanooga","TN","Chattanooga","Hamilton County",250402
"12764","35754","Laceys Spring","AL","Decatur","Morgan County",154261
"12765","73128","Oklahoma City","OK","Oklahoma City","Oklahoma County",177510
"12766","75124","Eustace","TX","Athens","Henderson County",158702
"12767","69130","Cozad","NE","Lexington","Dawson County",104242
"12768","56085","Sleepy Eye","MN","New Ulm","Brown County",159112
"12769","38868","Shannon","MS","Tupelo","Lee County",96532
"12770","17366","Windsor Township","PA","York-Hanover","York County",183515
"12771","95223","Arnold","CA","","Calaveras County",310314
"12772","56442","Cross Lake","MN","Brainerd","Crow Wing County",312661
"12773","18414","Dalton","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna County",207560
"12774","80136","Strasburg","CO","Denver-Aurora-Lakewood","Adams County",424284
"12775","81137","Ignacio","CO","Durango","La Plata County",291616
"12776","38040","Halls","TN","","Lauderdale County",79819
"12777","49706","Alanson","MI","","Emmet County",155368
"12778","17307","Menallen Township","PA","Gettysburg","Adams County",196038
"12779","49269","Parma","MI","Jackson","Jackson County",160993
"12780","13159","Town of Tully","NY","Syracuse","Onondaga County",188128
"12781","1756","Mendon","MA","Worcester","Worcester County",444277
"12782","75182","Sunnyvale","TX","Dallas-Fort Worth-Arlington","Dallas County",422692
"12783","34201","Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota County",415995
"12784","48658","Standish","MI","","Arenac County",87103
"12785","56479","Staples","MN","","Todd County",122068
"12786","13068","Town of Dryden","NY","Ithaca","Tompkins County",183481
"12787","65542","Licking","MO","","Texas County",119145
"12788","18011","Alburtis","PA","Allentown-Bethlehem-Easton","Lehigh County",227822
