"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"92",92,-99.7498336,32.4509215,NA,"37075","Hendersonville","TN","Nashville-Davidson--Murfreesboro--Franklin","Sumner County",305937,"q4",3.5,"205a indian lake blvd, hendersonville, tn 37075, usa","South"
"93",93,-88.2507353,40.0709524,NA,"80129","Highlands Ranch","CO","Denver-Aurora-Lakewood","Douglas County",491981,"q4",3.5,"161 w county line rd, highlands ranch, co 80129, usa","West"
"94",94,-85.5021585,36.150217,NA,"30084","Tucker","GA","Atlanta-Sandy Springs-Roswell","Dekalb County",254774,"q3",3.5,"4400 hugh howell rd, tucker, ga 30084, usa","South"
"95",95,-92.3435275,34.7107319,NA,"49855","Marquette","MI","Marquette","Marquette County",218083,"q3",3,"3125 us-41, marquette, mi 49855, usa","Midwest"
"96",96,-80.2046397,36.1579335,NA,"30504","Gainesville","GA","Gainesville","Hall County",215494,"q3",3,"1514 skelton rd, gainesville, ga 30504, usa","South"
"97",97,-81.7868402,41.4552281,NA,"28262","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",217500,"q3",3,"1725 harris houston rd, charlotte, nc 28262, usa","South"
"98",98,-88.805228,30.4144173,NA,"85226","Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",330816,"q4",3,"4949 w ray rd #1chandler, chandler, az 85226, usa","West"
"99",99,-87.150471,35.9430316,NA,"24401","Staunton","VA","Staunton-Waynesboro","Staunton City",184422,"q3",3,"1106 greenville ave, staunton, va 24401, usa","South"
"100",100,-118.3453295,34.0599637,NA,"77064","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",189059,"q3",3,"9215 west rd, houston, tx 77064, usa","South"
"101",101,-81.023871,29.1105026,NA,"92373","Redlands","CA","Riverside-San Bernardino-Ontario","San Bernardino County",492636,"q4",3,"411 e palm ave, redlands, ca 92373, usa","West"
"102",102,-121.2899989,38.695377,NA,"95610","Citrus Heights","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",378529,"q4",3,"7120 auburn blvd, citrus heights, ca 95610, usa","West"
"103",103,-82.5024768,28.0859031,NA,"53545","Janesville","WI","Janesville-Beloit","Rock County",167958,"q3",3,"2003 holiday dr, janesville, wi 53545, usa","Midwest"
"104",104,-119.2944702,34.280618,NA,"29063","Irmo","SC","Columbia","Richland County",173265,"q3",3,"7138 broad river rd, irmo, sc 29063, usa","South"
"105",105,-85.8592592,38.959,NA,"43231","Columbus","OH","Columbus","Franklin County",182718,"q3",3,"2933 morse rd, columbus, oh 43231, usa","Midwest"
"106",106,-121.2268388,38.67816,NA,"43202","Columbus","OH","Columbus","Franklin County",272257,"q4",3,"2550 n high st, columbus, oh 43202, usa","Midwest"
"107",107,-84.2547133,33.8443683,NA,"98444","Parkland","WA","Seattle-Tacoma-Bellevue","Pierce County",298846,"q4",3,"14918 pacific ave s, parkland, wa 98444, usa","West"
"108",108,-79.715711,39.8985346,NA,"87120","Albuquerque","NM","Albuquerque","Bernalillo County",214370,"q3",3,"6636 caminito coors nw, albuquerque, nm 87120, usa","West"
"109",109,-97.2936303,32.6888751,NA,"85283","Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",299549,"q4",3,"2700 w baseline rd, tempe, az 85283, usa","West"
"110",110,-77.4378084,38.2857791,NA,"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",672690,"q4",3,"13245 hawthorne blvd, hawthorne, ca 90250, usa","West"
"111",111,-88.9978385,42.7152314,NA,"78660","Pflugerville","TX","Austin-Round Rock","Travis County",270712,"q4",3,"1701 farm to market 685, pflugerville, tx 78660, usa","South"
"112",112,-84.9513528,32.5427378,NA,"30324","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",411411,"q4",3,"2135 piedmont rd ne, atlanta, ga 30324, usa","South"
"113",113,-122.1338684,38.2159765,NA,"56001","Mankato","MN","Mankato-North Mankato","Blue Earth County",215033,"q3",3,"2024 adams st, mankato, mn 56001, usa","Midwest"
"114",114,-122.3328981,37.9544184,NA,"80010","Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",310074,"q4",3,"10590 e colfax ave, aurora, co 80010, usa","West"
