"","zip","state","state_name","city","x2020_01","region","division"
"254","37128","TN","Tennessee","Murfreesboro",287341,"South","East South Central"
"255","92109","CA","California","San Diego",951468,"West","Pacific"
"256","30062","GA","Georgia","Marietta",354485,"South","South Atlantic"
"257","60628","IL","Illinois","Chicago",103642,"Midwest","East North Central"
"258","7093","NJ","New Jersey","West New York",420493,"Northeast","Middle Atlantic"
"259","32822","FL","Florida","Orlando",201002,"South","South Atlantic"
"260","30331","GA","Georgia","Atlanta",179295,"South","South Atlantic"
"261","75217","TX","Texas","Dallas",140967,"South","West South Central"
"262","2360","MA","Massachusetts","Plymouth",384811,"Northeast","New England"
"263","34953","FL","Florida","Port Saint Lucie",243208,"South","South Atlantic"
"264","37130","TN","Tennessee","Murfreesboro",237742,"South","East South Central"
"265","33186","FL","Florida","The Crossings",319860,"South","South Atlantic"
"266","2155","MA","Massachusetts","Medford",620501,"Northeast","New England"
"267","10701","NY","New York","Yonkers",490646,"Northeast","Middle Atlantic"
"268","33012","FL","Florida","Hialeah",251000,"South","South Atlantic"
"269","91342","CA","California","Los Angeles",546690,"West","Pacific"
"270","90706","CA","California","Bellflower",536382,"West","Pacific"
"271","92335","CA","California","Fontana",367521,"West","Pacific"
"272","95123","CA","California","San Jose",935393,"West","Pacific"
"273","92021","CA","California","El Cajon",503261,"West","Pacific"
"274","32174","FL","Florida","Ormond Beach",259458,"South","South Atlantic"
"275","22304","VA","Virginia","Alexandria",373285,"South","South Atlantic"
"276","87121","NM","New Mexico","Albuquerque",159658,"West","Mountain"
"277","11372","NY","New York","New York",424773,"Northeast","Middle Atlantic"
"278","93065","CA","California","Simi Valley",602718,"West","Pacific"
"279","22193","VA","Virginia","Woodbridge",343401,"South","South Atlantic"
"280","27858","NC","North Carolina","Greenville",163021,"South","South Atlantic"
"281","45840","OH","Ohio","Findlay",162657,"Midwest","East North Central"
"282","60649","IL","Illinois","Chicago",118688,"Midwest","East North Central"
"283","33063","FL","Florida","Margate",202837,"South","South Atlantic"
"284","27703","NC","North Carolina","Durham",232834,"South","South Atlantic"
"285","23454","VA","Virginia","Virginia Beach",302369,"South","South Atlantic"
"286","60626","IL","Illinois","Chicago",220335,"Midwest","East North Central"
"287","33064","FL","Florida","Pompano Beach",231796,"South","South Atlantic"
"288","48185","MI","Michigan","Westland",157323,"Midwest","East North Central"
"289","92627","CA","California","Costa Mesa",848863,"West","Pacific"
"290","33027","FL","Florida","Miramar",316915,"South","South Atlantic"
"291","85705","AZ","Arizona","Tucson",165071,"West","Mountain"
"292","33311","FL","Florida","Fort Lauderdale",221561,"South","South Atlantic"
"293","8831","NJ","New Jersey","Monroe Township",379703,"Northeast","Middle Atlantic"
"294","20147","VA","Virginia","Ashburn",538701,"South","South Atlantic"
"295","44130","OH","Ohio","Parma Heights",148567,"Midwest","East North Central"
"296","90025","CA","California","Los Angeles",1013475,"West","Pacific"
"297","20878","MD","Maryland","Gaithersburg",548088,"South","South Atlantic"
"298","43228","OH","Ohio","Columbus",145620,"Midwest","East North Central"
"299","30022","GA","Georgia","Johns Creek",423538,"South","South Atlantic"
"300","30004","GA","Georgia","Milton",446004,"South","South Atlantic"
"301","23666","VA","Virginia","Hampton",187071,"South","South Atlantic"
"302","85142","AZ","Arizona","Queen Creek",350265,"West","Mountain"
"303","98682","WA","Washington","Vancouver",349336,"West","Pacific"
"304","95035","CA","California","Milpitas",1061946,"West","Pacific"
"305","91710","CA","California","Chino",509081,"West","Pacific"
"306","90011","CA","California","Los Angeles",444857,"West","Pacific"
"307","23223","VA","Virginia","Richmond",179748,"South","South Atlantic"
"308","11218","NY","New York","New York",661905,"Northeast","Middle Atlantic"
"309","27713","NC","North Carolina","Durham",275930,"South","South Atlantic"
"310","77082","TX","Texas","Houston",185199,"South","West South Central"
"311","44077","OH","Ohio","Painesville",165047,"Midwest","East North Central"
"312","94544","CA","California","Hayward",657130,"West","Pacific"
"313","43701","OH","Ohio","Zanesville",116961,"Midwest","East North Central"
"314","29730","SC","South Carolina","Rock Hill",168607,"South","South Atlantic"
"315","11223","NY","New York","New York",794764,"Northeast","Middle Atlantic"
"316","60622","IL","Illinois","Chicago",494160,"Midwest","East North Central"
"317","29464","SC","South Carolina","Mount Pleasant",482453,"South","South Atlantic"
"318","60616","IL","Illinois","Chicago",359126,"Midwest","East North Central"
"319","27284","NC","North Carolina","Kernersville",192105,"South","South Atlantic"
"320","35242","AL","Alabama","Hoover",353017,"South","East South Central"
"321","58103","ND","North Dakota","Fargo",197703,"Midwest","West North Central"
"322","80015","CO","Colorado","Aurora",418578,"West","Mountain"
"323","20019","DC","District of Columbia","Washington",380514,"South","South Atlantic"
"324","55901","MN","Minnesota","Rochester",235425,"Midwest","West North Central"
"325","10021","NY","New York","New York",1009886,"Northeast","Middle Atlantic"
"326","80525","CO","Colorado","Fort Collins",425815,"West","Mountain"
"327","30127","GA","Georgia","Powder Springs",224300,"South","South Atlantic"
"328","97402","OR","Oregon","Eugene",281129,"West","Pacific"
"329","33313","FL","Florida","Lauderhill",101942,"South","South Atlantic"
"330","71913","AR","Arkansas","Hot Springs",164463,"South","West South Central"
"331","90027","CA","California","Los Angeles",1376312,"West","Pacific"
"332","37064","TN","Tennessee","Franklin",484074,"South","East South Central"
"333","37066","TN","Tennessee","Gallatin",272151,"South","East South Central"
"334","98115","WA","Washington","Seattle",838998,"West","Pacific"
"335","42101","KY","Kentucky","Bowling Green",148750,"South","East South Central"
"336","93727","CA","California","Fresno",270369,"West","Pacific"
"337","94568","CA","California","Dublin",924705,"West","Pacific"
"338","19124","PA","Pennsylvania","Philadelphia",121402,"Northeast","Middle Atlantic"
"339","95051","CA","California","Santa Clara",1362037,"West","Pacific"
"340","91335","CA","California","Los Angeles",576330,"West","Pacific"
"341","95687","CA","California","Vacaville",438868,"West","Pacific"
"342","32828","FL","Florida","Orlando",308050,"South","South Atlantic"
"343","32225","FL","Florida","Jacksonville",249444,"South","South Atlantic"
"344","76116","TX","Texas","Fort Worth",210559,"South","West South Central"
"345","90731","CA","California","Los Angeles",619772,"West","Pacific"
"346","77840","TX","Texas","College Station",196417,"South","West South Central"
"347","77007","TX","Texas","Houston",411058,"South","West South Central"
"348","85251","AZ","Arizona","Scottsdale",366245,"West","Mountain"
"349","23452","VA","Virginia","Virginia Beach",250571,"South","South Atlantic"
"350","75150","TX","Texas","Mesquite",187335,"South","West South Central"
"351","30253","GA","Georgia","McDonough",200823,"South","South Atlantic"
"352","37122","TN","Tennessee","Mount Juliet",330502,"South","East South Central"
"353","30135","GA","Georgia","Douglasville",198044,"South","South Atlantic"
"354","73160","OK","Oklahoma","Moore",151128,"South","West South Central"
"355","89031","NV","Nevada","North Las Vegas",272588,"West","Mountain"
"356","93550","CA","California","Palmdale",290493,"West","Pacific"
"357","43068","OH","Ohio","Reynoldsburg",188655,"Midwest","East North Central"
"358","93536","CA","California","Lancaster",368641,"West","Pacific"
"359","29681","SC","South Carolina","Simpsonville",259733,"South","South Atlantic"
"360","60615","IL","Illinois","Chicago",267103,"Midwest","East North Central"
"361","7087","NJ","New Jersey","Union City",426182,"Northeast","Middle Atlantic"
"362","40601","KY","Kentucky","Frankfort",152694,"South","East South Central"
"363","33319","FL","Florida","Lauderhill",136574,"South","South Atlantic"
"364","78501","TX","Texas","McAllen",123714,"South","West South Central"
"365","98122","WA","Washington","Seattle",802821,"West","Pacific"
"366","21215","MD","Maryland","Baltimore",139286,"South","South Atlantic"
"367","63123","MO","Missouri","Affton",166428,"Midwest","West North Central"
"368","14580","NY","New York","Town of Webster",220241,"Northeast","Middle Atlantic"
"369","92630","CA","California","Lake Forest",729942,"West","Pacific"
"370","66061","KS","Kansas","Olathe",270028,"Midwest","West North Central"
"371","14221","NY","New York","Town Of Amherst",259226,"Northeast","Middle Atlantic"
"372","23451","VA","Virginia","Virginia Beach",429306,"South","South Atlantic"
"373","94509","CA","California","Antioch",282916,"West","Pacific"
"374","11208","NY","New York","New York",559225,"Northeast","Middle Atlantic"
"375","11225","NY","New York","New York",765300,"Northeast","Middle Atlantic"
"376","95758","CA","California","Elk Grove",419876,"West","Pacific"
"377","93306","CA","California","Bakersfield",218052,"West","Pacific"
"378","60641","IL","Illinois","Chicago",285666,"Midwest","East North Central"
"379","45601","OH","Ohio","Chillicothe",125343,"Midwest","East North Central"
"380","78249","TX","Texas","San Antonio",223865,"South","West South Central"
"381","89123","NV","Nevada","Las Vegas",309998,"West","Mountain"
"382","21122","MD","Maryland","Pasadena",326088,"South","South Atlantic"
"383","89148","NV","Nevada","Las Vegas",329846,"West","Mountain"
"384","93307","CA","California","Bakersfield",189939,"West","Pacific"
"385","77057","TX","Texas","Houston",250405,"South","West South Central"
"386","19446","PA","Pennsylvania","Lansdale",332322,"Northeast","Middle Atlantic"
"387","93535","CA","California","Lancaster",271232,"West","Pacific"
"388","78254","TX","Texas","San Antonio",226523,"South","West South Central"
"389","94122","CA","California","San Francisco",1463332,"West","Pacific"
"390","33467","FL","Florida","Greenacres",320521,"South","South Atlantic"
"391","11101","NY","New York","New York",977169,"Northeast","Middle Atlantic"
"392","77521","TX","Texas","Baytown",187702,"South","West South Central"
"393","93274","CA","California","Tulare",217245,"West","Pacific"
"394","27707","NC","North Carolina","Durham",272132,"South","South Atlantic"
"395","46143","IN","Indiana","Greenwood",210947,"Midwest","East North Central"
"396","34293","FL","Florida","Venice",241222,"South","South Atlantic"
"397","29445","SC","South Carolina","Goose Creek",198030,"South","South Atlantic"
"398","98133","WA","Washington","Shoreline",597441,"West","Pacific"
"399","33321","FL","Florida","Tamarac",208752,"South","South Atlantic"
"400","75070","TX","Texas","McKinney",328095,"South","West South Central"
"401","60660","IL","Illinois","Chicago",258043,"Midwest","East North Central"
"402","28205","NC","North Carolina","Charlotte",291409,"South","South Atlantic"
"403","75002","TX","Texas","Allen",305152,"South","West South Central"
"404","60453","IL","Illinois","Oak Lawn",209094,"Midwest","East North Central"
"405","2301","MA","Massachusetts","Brockton",328645,"Northeast","New England"
"406","75043","TX","Texas","Garland",207973,"South","West South Central"
"407","93257","CA","California","Porterville",206097,"West","Pacific"
"408","956","LA","Louisiana","Ethel",137414,"South","West South Central"
"409","19020","PA","Pennsylvania","Bensalem Township",282538,"Northeast","Middle Atlantic"
"410","28601","NC","North Carolina","Hickory",178276,"South","South Atlantic"
"411","37167","TN","Tennessee","Smyrna",256781,"South","East South Central"
"412","99208","WA","Washington","Spokane",305398,"West","Pacific"
"413","31088","GA","Georgia","Warner Robins",141077,"South","South Atlantic"
"414","11204","NY","New York","New York",882499,"Northeast","Middle Atlantic"
"415","93230","CA","California","Hanford",238897,"West","Pacific"
"416","32246","FL","Florida","Jacksonville",210815,"South","South Atlantic"
"417","11213","NY","New York","New York",861310,"Northeast","Middle Atlantic"
"418","19720","DE","Delaware","New Castle",195140,"South","South Atlantic"
"419","48823","MI","Michigan","East Lansing",217518,"Midwest","East North Central"
"420","70726","LA","Louisiana","Denham Springs",177566,"South","West South Central"
"421","21222","MD","Maryland","Dundalk",144392,"South","South Atlantic"
"422","29579","SC","South Carolina","Forestbrook",206291,"South","South Atlantic"
"423","31419","GA","Georgia","Savannah",177016,"South","South Atlantic"
"424","19120","PA","Pennsylvania","Philadelphia",123387,"Northeast","Middle Atlantic"
"425","11219","NY","New York","New York",774242,"Northeast","Middle Atlantic"
"426","38655","MS","Mississippi","Oxford",202571,"South","East South Central"
"427","22204","VA","Virginia","Arlington",546960,"South","South Atlantic"
"428","27519","NC","North Carolina","Cary",439613,"South","South Atlantic"
"429","37040","TN","Tennessee","Clarksville",171076,"South","East South Central"
"430","27705","NC","North Carolina","Durham",301645,"South","South Atlantic"
"431","77346","TX","Texas","Atascocita",222249,"South","West South Central"
"432","93309","CA","California","Bakersfield",224531,"West","Pacific"
"433","85282","AZ","Arizona","Tempe",305390,"West","Mountain"
"434","20874","MD","Maryland","Germantown",312417,"South","South Atlantic"
"435","29223","SC","South Carolina","Columbia",139595,"South","South Atlantic"
"436","30909","GA","Georgia","Augusta",162564,"South","South Atlantic"
"437","29485","SC","South Carolina","Summerville",237420,"South","South Atlantic"
"438","28216","NC","North Carolina","Charlotte",194833,"South","South Atlantic"
"439","10032","NY","New York","New York",583056,"Northeast","Middle Atlantic"
"440","94541","CA","California","Hayward",658695,"West","Pacific"
"441","94538","CA","California","Fremont",940345,"West","Pacific"
"442","95076","CA","California","Watsonville",609584,"West","Pacific"
"443","36117","AL","Alabama","Montgomery",177949,"South","East South Central"
"444","78748","TX","Texas","Austin",315645,"South","West South Central"
"445","76179","TX","Texas","Fort Worth",229950,"South","West South Central"
"446","90802","CA","California","Long Beach",403636,"West","Pacific"
"447","33157","FL","Florida","Village of Palmetto Bay",348449,"South","South Atlantic"
"448","85383","AZ","Arizona","Peoria",409617,"West","Mountain"
"449","78251","TX","Texas","San Antonio",197668,"South","West South Central"
"450","60085","IL","Illinois","Waukegan",132779,"Midwest","East North Central"
"451","78758","TX","Texas","Austin",324983,"South","West South Central"
"452","94513","CA","California","Brentwood",680161,"West","Pacific"
"453","28215","NC","North Carolina","Charlotte",204534,"South","South Atlantic"
"454","32765","FL","Florida","Oviedo",320193,"South","South Atlantic"
"455","83646","ID","Idaho","Meridian",349732,"West","Mountain"
"456","17331","PA","Pennsylvania","Penn Township",188152,"Northeast","Middle Atlantic"
