"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"3962",-120.304513,47.411708,"830 s mission st, wenatchee, wa 98801, usa","98801","Wenatchee","WA","Wenatchee","Chelan County",330739
"3963",-83.8701636,34.2290795,"3715 mundy mill rd, oakwood, ga 30566, usa","30566","Oakwood","GA","Gainesville","Hall County",184794
"3964",-86.6898277,41.6265321,"1509 e lincolnway, la porte, in 46350, usa","46350","La Porte","IN","Michigan City-La Porte","La Porte County",165253
"3965",-97.5508745,35.3636941,"2209 sw 104th st, oklahoma city, ok 73159, usa","73159","Oklahoma City","OK","Oklahoma City","Oklahoma County",122197
"3966",-118.3898531,33.8733159,"1401 artesia blvd, manhattan beach, ca 90266, usa","90266","Manhattan Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2012029
"3967",-73.4061899,41.4393922,"165 federal rd store 165, brookfield, ct 06804, usa","06804",NA,NA,NA,NA,NA
"3968",-81.0358151,34.9417013,"111 cherry rd, rock hill, sc 29732, usa","29732","Rock Hill","SC","Charlotte-Concord-Gastonia","York County",202308
"3969",-91.4902833,39.3102386,"295 us-54, vandalia, mo 63382, usa","63382","Vandalia","MO","Mexico","Audrain County",64274
"3970",-95.7928865,29.7834478,"24413 katy fwy, katy, tx 77494, usa","77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",334918
"3971",-80.088281,37.2876719,"1830 w main st, salem, va 24153, usa","24153","Salem","VA","Roanoke","Salem City",188800
"3972",-89.7383033,35.2044546,"9733 us-64, arlington, tn 38002, usa","38002","Lakeland","TN","Memphis","Shelby County",278573
"3973",-83.7323653,42.7909444,"3150 owen rd, fenton, mi 48430, usa","48430","Fenton","MI","Flint","Genesee County",250659
"3974",-88.2006126,41.6328245,"13665 illinois rte 59, plainfield, il 60544, usa","60544","Plainfield","IL","Chicago-Naperville-Elgin","Will County",236254
"3975",-78.9776393,39.4422254,"280 keyser mall, keyser, wv 26726, usa","26726","Keyser","WV","Cumberland","Mineral County",115407
"3976",-80.7345275,35.1419252,"1909 sardis rd n, charlotte, nc 28270, usa","28270","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",395325
"3977",-90.4911305,30.5038445,"2722 w thomas st, hammond, la 70401, usa","70401","Hammond","LA","Hammond","Tangipahoa Parish",150435
"3978",-97.752815,30.2748578,"914 n lamar blvd, austin, tx 78703, usa","78703","Austin","TX","Austin-Round Rock","Travis County",989881
"3979",-82.9987862,43.8133182,"780 n van dyke rd, bad axe, mi 48413, usa","48413","Bad Axe","MI","","Huron County",96592
"3980",-82.388273,34.763683,"2 augusta rd, greenville, sc 29605, usa","29605","Greenville","SC","Greenville-Anderson-Mauldin","Greenville County",178235
