"","lon","lat","address","zip","city","state","metro","county_name","x2020_01","quartile"
"325",-80.2681105,27.2310815,"1101 nw 21st st, stuart, fl 34994, usa","34994","Stuart","FL","Port St. Lucie","Martin County",167301,"q3"
"326",-119.0889509,46.2305041,"307 w columbia st, pasco, wa 99301, usa","99301","Pasco","WA","Kennewick-Richland","Franklin County",273236,"q4"
"327",-92.0854252,37.9980834,"508 5th st, dixon, mo 65459, usa","65459","Dixon","MO","Fort Leonard Wood","Pulaski County",135786,"q2"
"328",-82.5623293,35.702546,"50 weaver blvd, weaverville, nc 28787, usa","28787","Weaverville","NC","Asheville","Buncombe County",318438,"q4"
"329",-121.2703272,38.6141472,"1945 zinfandel dr, rancho cordova, ca 95670, usa","95670","Rancho Cordova","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",360688,"q4"
"330",-84.0304557,41.8776647,"1357 division st, adrian, mi 49221, usa","49221","Adrian","MI","Adrian","Lenawee County",135795,"q2"
"331",-86.6898277,41.6265321,"1509 e lincolnway, la porte, in 46350, usa","46350","La Porte","IN","Michigan City-La Porte","La Porte County",165253,"q3"
"332",-79.8780547,37.3422151,"5981 cloverdale rd, roanoke, va 24019, usa","24019","Roanoke","VA","Roanoke","Roanoke City",190443,"q3"
"333",-70.2323052,44.1222196,"939 turner st, auburn, me 04210, usa","04210",NA,NA,NA,NA,NA,"q4"
"334",-122.9262527,44.046017,"5810 main st, springfield, or 97478, usa","97478","Springfield","OR","Eugene","Lane County",296558,"q4"
"335",-91.9468247,30.1393087,"1214 albertson pkwy, broussard, la 70518, usa","70518","Broussard","LA","Lafayette","Lafayette Parish",205208,"q3"
"336",-73.0786191,41.8219569,"1849 e main st, torrington, ct 06790, usa","06790",NA,NA,NA,NA,NA,"q4"
"337",-80.9154698,34.1385105,"4221 hardscrabble rd, columbia, sc 29223, usa","29223","Columbia","SC","Columbia","Richland County",139595,"q2"
"338",-116.2861196,43.5927585,"s vinnell way, boise, id 83709, usa","83709","Boise","ID","Boise City","Ada County",319838,"q4"
"339",-98.3405453,40.9032004,"1808 s locust st, grand island, ne 68801, usa","68801","Grand Island","NE","Grand Island","Hall County",134885,"q2"
"340",-84.358928,34.2524973,"8016 cumming hwy #305canton, canton, ga 30115, usa","30115","Canton","GA","Atlanta-Sandy Springs-Roswell","Cherokee County",322480,"q4"
"341",-92.4035608,34.767847,"green mountain dr, little rock, ar 72212, usa","72212","Little Rock","AR","Little Rock-North Little Rock-Conway","Pulaski County",283330,"q4"
"342",-77.4503678,39.4206754,"101 willowdale dr, frederick, md 21701, usa","21701","Frederick","MD","Washington-Arlington-Alexandria","Frederick County",301879,"q4"
"343",-78.4668025,40.0177437,"9481 lincoln hwy, bedford, pa 15522, usa","15522","Bedford Township","PA","","Bedford County",164795,"q3"
"344",-84.8001883,33.3862544,"jackson st, newnan, ga 30263, usa","30263","Newnan","GA","Atlanta-Sandy Springs-Roswell","Coweta County",195675,"q3"
"345",-105.0596686,39.77782,"5825 w 44th ave, denver, co 80212, usa","80212","Denver","CO","Denver-Aurora-Lakewood","Denver County",569280,"q4"
"346",-81.7390369,28.5437786,"1855 s grand hwy, clermont, fl 34711, usa","34711","Clermont","FL","Orlando-Kissimmee-Sanford","Lake County",279566,"q4"
"347",-88.4787593,44.266894,"4759 w michaels dr, appleton, wi 54913, usa","54913","Appleton","WI","Appleton","Outagamie County",315738,"q4"
"348",-122.3113078,47.7344329,"14500 15th ave ne, shoreline, wa 98155, usa","98155","Shoreline","WA","Seattle-Tacoma-Bellevue","King County",606182,"q4"
"349",-117.4097084,47.7435177,"9414 n division st, spokane, wa 99218, usa","99218","Spokane","WA","Spokane-Spokane Valley","Spokane County",314282,"q4"
"350",-96.1778297,33.5907699,"1655 n center st, bonham, tx 75418, usa","75418","Bonham","TX","Bonham","Fannin County",112057,"q2"
"351",-78.2684136,37.7545614,"4108 james madison hwy, fork union, va 23055, usa","23055","Bremo Bluff","VA","Charlottesville","Fluvanna County",180650,"q3"
"352",-81.3370662,28.811478,"4516 w state rd 46 #46sanford, sanford, fl 32771, usa","32771","Sanford","FL","Orlando-Kissimmee-Sanford","Seminole County",237088,"q3"
"353",-84.5122939,33.9523243,"1355 roswell rd, marietta, ga 30062, usa","30062","Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",354485,"q4"
"354",-72.684684,41.5532075,"955 washington st, middletown, ct 06457, usa","06457",NA,NA,NA,NA,NA,"q4"
"355",-84.3955314,39.3584702,"7773 cincinnati dayton rd store 7773, west chester township, oh 45069, usa","45069","West Chester","OH","Cincinnati","Butler County",260789,"q3"
"356",-81.9042959,26.7236215,"17940 n tamiami trail, north fort myers, fl 33903, usa","33903","North Fort Myers","FL","Cape Coral-Fort Myers","Lee County",180765,"q3"
"357",-81.5307575,30.2851605,"11160 beach blvd, jacksonville, fl 32246, usa","32246","Jacksonville","FL","Jacksonville","Duval County",210815,"q3"
"358",-95.5321094,30.0031624,"15812 champion forest dr, spring, tx 77379, usa","77379","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",258733,"q3"
"359",-92.0496332,30.2121102,"2435 w congress st, lafayette, la 70506, usa","70506","Lafayette","LA","Lafayette","Lafayette Parish",157474,"q2"
"360",-96.1690329,38.4122414,"e 12th ave, emporia, ks 66801, usa","66801","Emporia","KS","Emporia","Lyon County",108258,"q2"
"361",-74.4478522,40.6216613,"955 us-22, north plainfield, nj 07060, usa","07060",NA,NA,NA,NA,NA,"q4"
"362",-79.816389,32.8406162,"1141 6 mile rd, mt pleasant, sc 29466, usa","29466","Mount Pleasant","SC","Charleston-North Charleston","Charleston County",437217,"q4"
"363",-122.7628883,45.3053558,"8275 sw wilsonville rd, wilsonville, or 97070, usa","97070","Wilsonville","OR","Portland-Vancouver-Hillsboro","Clackamas County",472021,"q4"
"364",-89.6123256,40.6785607,"403 s olive st, peoria, il 61605, usa","61605",NA,NA,NA,NA,NA,"q4"
"365",-79.7969719,35.6928099,"1064 e dixie dr, asheboro, nc 27203, usa","27203","Asheboro","NC","Greensboro-High Point","Randolph County",111364,"q2"
"366",-95.7201925,29.8016677,"2401 n fry rd, katy, tx 77449, usa","77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",187963,"q3"
"367",-96.6563786,40.8193213,"4555 vine st store 4555, lincoln, ne 68503, usa","68503","Lincoln","NE","Lincoln","Lancaster County",125627,"q2"
"368",-76.6111697,39.2890884,"222 e redwood st, baltimore, md 21202, usa","21202","Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",200501,"q3"
"369",-73.6235204,45.5212388,"1244 avenue beaumont, mont-royal, qc h3p 3e5, canada","canada",NA,NA,NA,NA,NA,"q4"
"370",-71.4969994,43.2198427,"204 loudon rd, concord, nh 03301, usa","03301",NA,NA,NA,NA,NA,"q4"
"371",-86.0023901,41.529284,"66465 state rte 19, wakarusa, in 46573, usa","46573","Wakarusa","IN","Elkhart-Goshen","Elkhart County",196127,"q3"
"372",-85.2209403,34.9903607,"5740 ringgold rd, east ridge, tn 37412, usa","37412","East Ridge","TN","Chattanooga","Hamilton County",137214,"q2"
"373",-86.7783504,35.989479,"1301 wilson pike, brentwood, tn 37027, usa","37027","Brentwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County",638573,"q4"
"374",-118.4743067,34.0329563,"2520 santa monica blvd, santa monica, ca 90404, usa","90404","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1052825,"q4"
"375",-91.7508015,37.9533589,"1304 forum dr, rolla, mo 65401, usa","65401","Rolla","MO","Rolla","Phelps County",147163,"q2"
"376",-81.6410521,38.3532486,"209 virginia st e, charleston, wv 25301, usa","25301","Charleston","WV","Charleston","Kanawha County",127147,"q2"
"377",-95.9746002,35.9831662,"502 w 125th pl s, jenks, ok 74037, usa","74037","Jenks","OK","Tulsa","Tulsa County",212471,"q3"
"378",-110.8748853,32.2719583,"3510 n craycroft rd, tucson, az 85718, usa","85718","Tucson","AZ","Tucson","Pima County",483961,"q4"
"379",-111.6619703,35.1915519,"963 w rte 66 #100, flagstaff, az 86001, usa","86001","Flagstaff","AZ","Flagstaff","Coconino County",391412,"q4"
"380",-86.6911,35.9977821,"6708 nolensville pike, brentwood, tn 37027, usa","37027","Brentwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County",638573,"q4"
"381",-111.2297134,47.5044939,"4400 central ave, great falls, mt 59405, usa","59405","Great Falls","MT","Great Falls","Cascade County",187098,"q3"
"382",-82.6217406,35.6014435,"339 new leicester hwy, asheville, nc 28806, usa","28806","Asheville","NC","Asheville","Buncombe County",272335,"q4"
"383",-158.0909966,21.3187143,"2140 lauwiliwili st, kapolei, hi 96707, usa","96707","Kapolei","HI","Urban Honolulu","Honolulu County",647412,"q4"
"384",-81.3358157,35.7578551,"1877 n center st, hickory, nc 28601, usa","28601","Hickory","NC","Hickory-Lenoir-Morganton","Catawba County",178276,"q3"
"385",-82.3362451,40.8527079,"1611 claremont ave, ashland, oh 44805, usa","44805","Ashland","OH","Ashland","Ashland County",139165,"q2"
"386",-118.5959162,34.1789325,"21322 w oxnard st, woodland hills, ca 91367, usa","91367","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",781556,"q4"
"387",-82.5481488,28.1870793,"16138 fl-54, odessa, fl 33556, usa","33556","Odessa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",414575,"q4"
"388",-81.8190631,38.0670157,"198 state st, madison, wv 25130, usa","25130","Madison","WV","Charleston","Boone County",85168,"q1"
"389",-77.6364299,43.200781,"greece, ny 14615, usa","14615","Rochester","NY","Rochester","Monroe County",102339,"q1"
"390",-79.9326055,36.4181343,"6625 nc-135, mayodan, nc 27027, usa","27027","Mayodan","NC","Greensboro-High Point","Rockingham County",81071,"q1"
"391",-122.3008069,37.8965912,"505 san pablo ave, albany, ca 94706, usa","94706","Albany","CA","San Francisco-Oakland-Hayward","Alameda County",1051422,"q4"
"392",-73.937478,40.800794,"2211 3rd ave, new york, ny 10035, usa","10035","New York","NY","New York-Newark-Jersey City","New York County",643280,"q4"
"393",-79.7923249,36.0600579,"1235 s eugene st, greensboro, nc 27406, usa","27406","Greensboro","NC","Greensboro-High Point","Guilford County",135032,"q2"
"394",-84.893749,32.519627,"5435 woodruff farm rd, columbus, ga 31907, usa","31907","Columbus","GA","Columbus","Muscogee County",94407,"q1"
"395",-81.422726,28.363301,"3901 e village center dr, orlando, fl 32837, usa","32837","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",275024,"q4"
"396",NA,NA,NA,NA,NA,NA,NA,NA,NA,"q4"
"397",-85.576225,42.270107,"420 e. alcott st, kalamazoo, mi 49001, usa","49001","Kalamazoo","MI","Kalamazoo-Portage","Kalamazoo County",101698,"q1"
"398",-117.154692,33.5550851,"39400 murrieta hot springs rd, murrieta, ca 92563, usa","92563","Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",449065,"q4"
"399",-84.5101112,38.9443636,"6435 taylor mill rd store 6435, independence, ky 41051, usa","41051","Independence","KY","Cincinnati","Kenton County",202469,"q3"
"400",-76.3003586,40.0541765,"1048 n plum st, lancaster, pa 17601, usa","17601","Manheim Township","PA","Lancaster","Lancaster County",257543,"q3"
"401",-87.4676332,41.4367359,"10021 earl dr, st john, in 46373, usa","46373","Saint John","IN","Chicago-Naperville-Elgin","Lake County",321420,"q4"
"402",-122.2921366,47.1390484,"12915 meridian e, puyallup, wa 98373, usa","98373","Puyallup","WA","Seattle-Tacoma-Bellevue","Pierce County",386028,"q4"
"403",-122.425842,37.6419095,"225 kenwood way, south san francisco, ca 94080, usa","94080","South San Francisco","CA","San Francisco-Oakland-Hayward","San Mateo County",1066646,"q4"
"404",-96.7699314,32.8104373,"1606 greenville ave, dallas, tx 75206, usa","75206","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",428177,"q4"
"405",-78.7030695,39.3303935,"22240 northwestern turnpike, romney, wv 26757, usa","26757","Romney","WV","Winchester","Hampshire County",132033,"q2"
"406",-81.8305054,30.1949885,"9680 argyle forest blvd, jacksonville, fl 32222, usa","32222","Jacksonville","FL","Jacksonville","Duval County",214366,"q3"
"407",-121.2973572,38.872606,"745 ca-65, lincoln, ca 95648, usa","95648","Lincoln","CA","Sacramento--Roseville--Arden-Arcade","Placer County",494487,"q4"
"408",-98.315311,26.2561497,"300 e mile 3 rd #101palmhurst, palmhurst, tx 78573, usa","78573","Alton","TX","McAllen-Edinburg-Mission","Hidalgo County",125639,"q2"
"409",-75.5428178,40.0412475,"235 lancaster ave, malvern, pa 19355, usa","19355","Malvern","PA","Philadelphia-Camden-Wilmington","Chester County",504609,"q4"
"410",-75.0012357,39.8281464,"222 s white horse pike, stratford, nj 08084, usa","08084",NA,NA,NA,NA,NA,"q4"
"411",-92.4668281,39.7533824,"503 e briggs dr, macon, mo 63552, usa","63552","Macon","MO","","Macon County",110954,"q2"
"412",-93.260284,37.186251,"1514 s glenstone ave, springfield, mo 65804, usa","65804","Springfield","MO","Springfield","Greene County",171985,"q3"
"413",-77.4927878,38.2435192,"4701 market st a, fredericksburg, va 22408, usa","22408","Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",289853,"q4"
"414",-94.1912374,31.8106777,"1233 tenaha st, center, tx 75935, usa","75935","Center","TX","","Shelby County",101676,"q1"
"415",-122.0145276,36.978015,"815 soquel ave, santa cruz, ca 95062, usa","95062","Santa Cruz","CA","Santa Cruz-Watsonville","Santa Cruz County",886253,"q4"
"416",-122.1840615,37.4517529,"711 santa cruz ave, menlo park, ca 94025, usa","94025","Menlo Park","CA","San Francisco-Oakland-Hayward","San Mateo County",2240201,"q4"
"417",-78.7990606,39.6307822,"12000 upper potomac industrial park st, cumberland, md 21502, usa","21502","Cumberland","MD","Cumberland","Allegany County",95029,"q1"
"418",-81.3341184,40.8715037,"6252 middlebranch ave ne, canton, oh 44721, usa","44721","Canton","OH","Canton-Massillon","Stark County",180558,"q3"
"419",-84.417164,42.720652,"1860 w grand river ave, okemos, mi 48864, usa","48864","Okemos","MI","Lansing-East Lansing","Ingham County",278680,"q4"
"420",-82.6231295,27.8285689,"62nd ave ne, st. petersburg, fl 33702, usa","33702","Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",224702,"q3"
"421",-82.7897915,39.9281914,"1771 hill rd n, pickerington, oh 43147, usa","43147","Pickerington","OH","Columbus","Fairfield County",260458,"q3"
"422",-87.3124849,30.5337872,"2155 w 9 mile rd, pensacola, fl 32534, usa","32534","Pensacola","FL","Pensacola-Ferry Pass-Brent","Escambia County",147488,"q2"
"423",-119.455305,35.1491015,"411 finley dr, taft, ca 93268, usa","93268","Taft","CA","Bakersfield","Kern County",127363,"q2"
"424",-89.1222209,41.3587063,"1307 38th st, peru, il 61354, usa","61354","Peru","IL","Ottawa-Peru","La Salle County",109722,"q2"
"425",-81.3143962,35.7164174,"1172 lenoir rhyne blvd se, hickory, nc 28602, usa","28602","Hickory","NC","Hickory-Lenoir-Morganton","Catawba County",140568,"q2"
"426",-81.8066481,37.0936625,"2510 s front st, richlands, va 24641, usa","24641","Richlands","VA","Bluefield","Tazewell County",81357,"q1"
"427",-88.3385812,41.857648,"450 n randall rd, batavia, il 60510, usa","60510","Batavia","IL","Chicago-Naperville-Elgin","Kane County",297161,"q4"
"428",-84.1785432,40.56588,"1240 bellefontaine st, wapakoneta, oh 45895, usa","45895","Wapakoneta","OH","Wapakoneta","Auglaize County",141560,"q2"
"429",-123.0605749,44.8920474,"4555 liberty rd s, salem, or 97302, usa","97302","Salem","OR","Salem","Marion County",320737,"q4"
"430",-92.0288879,30.1731268,"1225 kaliste saloom rd, lafayette, la 70508, usa","70508","Lafayette","LA","Lafayette","Lafayette Parish",234092,"q3"
"431",-111.0070439,32.3223424,"1891 w orange grove rd, tucson, az 85704, usa","85704","Tucson","AZ","Tucson","Pima County",305829,"q4"
